TIME,LATITUDE,LONGITUDE,RAINFALL,MAX_TEMP
2024-01-01,17.5,81.5,0.0,28.245451
2024-01-01,17.5,82.5,0.0,27.615593
2024-01-01,17.5,83.5,,27.368078
2024-01-01,17.5,84.5,,
2024-01-01,17.5,85.5,,
2024-01-01,17.5,86.5,,
2024-01-01,17.5,87.5,,
2024-01-01,18.5,81.5,0.0,27.874138
2024-01-01,18.5,82.5,0.0,27.478561
2024-01-01,18.5,83.5,0.0,27.252417
2024-01-01,18.5,84.5,,27.468729
2024-01-01,18.5,85.5,,
2024-01-01,18.5,86.5,,
2024-01-01,18.5,87.5,,
2024-01-01,19.5,81.5,0.0,27.793385
2024-01-01,19.5,82.5,0.0,26.880121
2024-01-01,19.5,83.5,0.0,27.534771
2024-01-01,19.5,84.5,0.0,27.376644
2024-01-01,19.5,85.5,,27.126825
2024-01-01,19.5,86.5,,
2024-01-01,19.5,87.5,,
2024-01-01,20.5,81.5,0.0,27.331022
2024-01-01,20.5,82.5,0.0,27.470713
2024-01-01,20.5,83.5,0.0,27.534334
2024-01-01,20.5,84.5,0.0,27.543034
2024-01-01,20.5,85.5,0.0,26.975676
2024-01-01,20.5,86.5,0.0,26.310726
2024-01-01,20.5,87.5,,
2024-01-01,21.5,81.5,0.0,27.619226
2024-01-01,21.5,82.5,0.0,27.539238
2024-01-01,21.5,83.5,0.0,27.040155
2024-01-01,21.5,84.5,0.0,26.959791
2024-01-01,21.5,85.5,0.0,27.002539
2024-01-01,21.5,86.5,0.0,25.86553
2024-01-01,21.5,87.5,,24.43533
2024-01-01,22.5,81.5,0.0,26.47604
2024-01-01,22.5,82.5,0.0,26.193647
2024-01-01,22.5,83.5,0.0,25.094786
2024-01-01,22.5,84.5,0.0,25.82775
2024-01-01,22.5,85.5,0.0,25.636406
2024-01-01,22.5,86.5,0.0,24.9646
2024-01-01,22.5,87.5,0.0,23.277243
2024-01-02,17.5,81.5,0.0,27.698261
2024-01-02,17.5,82.5,0.0,27.43643
2024-01-02,17.5,83.5,,27.506512
2024-01-02,17.5,84.5,,
2024-01-02,17.5,85.5,,
2024-01-02,17.5,86.5,,
2024-01-02,17.5,87.5,,
2024-01-02,18.5,81.5,0.0,27.760458
2024-01-02,18.5,82.5,0.0,27.428171
2024-01-02,18.5,83.5,0.0,27.307182
2024-01-02,18.5,84.5,,27.46678
2024-01-02,18.5,85.5,,
2024-01-02,18.5,86.5,,
2024-01-02,18.5,87.5,,
2024-01-02,19.5,81.5,0.0,27.423359
2024-01-02,19.5,82.5,0.0,27.065737
2024-01-02,19.5,83.5,0.0,27.563643
2024-01-02,19.5,84.5,0.0,27.426998
2024-01-02,19.5,85.5,,26.875723
2024-01-02,19.5,86.5,,
2024-01-02,19.5,87.5,,
2024-01-02,20.5,81.5,0.0,28.137491
2024-01-02,20.5,82.5,0.0,28.482422
2024-01-02,20.5,83.5,0.0,28.214933
2024-01-02,20.5,84.5,0.0,27.433647
2024-01-02,20.5,85.5,0.0,26.855055
2024-01-02,20.5,86.5,0.0,25.997372
2024-01-02,20.5,87.5,,
2024-01-02,21.5,81.5,0.0,28.450138
2024-01-02,21.5,82.5,0.0,29.286245
2024-01-02,21.5,83.5,0.0,28.198666
2024-01-02,21.5,84.5,0.0,27.53056
2024-01-02,21.5,85.5,0.0,26.904612
2024-01-02,21.5,86.5,0.0,25.495264
2024-01-02,21.5,87.5,,23.848791
2024-01-02,22.5,81.5,0.0,27.431194
2024-01-02,22.5,82.5,0.0,27.61109
2024-01-02,22.5,83.5,0.0,27.10058
2024-01-02,22.5,84.5,0.0,26.720558
2024-01-02,22.5,85.5,0.0,25.87689
2024-01-02,22.5,86.5,0.0,24.530401
2024-01-02,22.5,87.5,0.0,23.766214
2024-01-03,17.5,81.5,0.0,28.183796
2024-01-03,17.5,82.5,0.0,27.599726
2024-01-03,17.5,83.5,,27.194939
2024-01-03,17.5,84.5,,
2024-01-03,17.5,85.5,,
2024-01-03,17.5,86.5,,
2024-01-03,17.5,87.5,,
2024-01-03,18.5,81.5,0.0,28.085924
2024-01-03,18.5,82.5,0.0,27.633842
2024-01-03,18.5,83.5,0.0,26.984346
2024-01-03,18.5,84.5,,27.13048
2024-01-03,18.5,85.5,,
2024-01-03,18.5,86.5,,
2024-01-03,18.5,87.5,,
2024-01-03,19.5,81.5,0.0,27.776478
2024-01-03,19.5,82.5,0.0,27.103277
2024-01-03,19.5,83.5,0.0,27.36092
2024-01-03,19.5,84.5,0.0,27.268082
2024-01-03,19.5,85.5,,26.618105
2024-01-03,19.5,86.5,,
2024-01-03,19.5,87.5,,
2024-01-03,20.5,81.5,0.0,28.38517
2024-01-03,20.5,82.5,0.0,28.081419
2024-01-03,20.5,83.5,0.0,27.818571
2024-01-03,20.5,84.5,0.0,27.348282
2024-01-03,20.5,85.5,0.0,26.486397
2024-01-03,20.5,86.5,0.0,26.039135
2024-01-03,20.5,87.5,,
2024-01-03,21.5,81.5,0.0,28.199371
2024-01-03,21.5,82.5,0.0,28.842093
2024-01-03,21.5,83.5,0.0,27.774868
2024-01-03,21.5,84.5,0.0,27.18124
2024-01-03,21.5,85.5,0.0,27.067595
2024-01-03,21.5,86.5,0.0,26.311045
2024-01-03,21.5,87.5,,24.529661
2024-01-03,22.5,81.5,0.0,26.822714
2024-01-03,22.5,82.5,0.0,26.887978
2024-01-03,22.5,83.5,0.0,26.863691
2024-01-03,22.5,84.5,0.0,26.862759
2024-01-03,22.5,85.5,0.0,26.381931
2024-01-03,22.5,86.5,0.0,25.283083
2024-01-03,22.5,87.5,0.0,24.560339
2024-01-04,17.5,81.5,0.0,28.334417
2024-01-04,17.5,82.5,0.0,27.72134
2024-01-04,17.5,83.5,,27.590881
2024-01-04,17.5,84.5,,
2024-01-04,17.5,85.5,,
2024-01-04,17.5,86.5,,
2024-01-04,17.5,87.5,,
2024-01-04,18.5,81.5,0.0,28.137945
2024-01-04,18.5,82.5,0.0,27.72926
2024-01-04,18.5,83.5,0.0,27.184809
2024-01-04,18.5,84.5,,27.435455
2024-01-04,18.5,85.5,,
2024-01-04,18.5,86.5,,
2024-01-04,18.5,87.5,,
2024-01-04,19.5,81.5,0.0,27.59003
2024-01-04,19.5,82.5,0.0,26.908308
2024-01-04,19.5,83.5,0.0,27.535126
2024-01-04,19.5,84.5,0.0,27.50212
2024-01-04,19.5,85.5,,27.04241
2024-01-04,19.5,86.5,,
2024-01-04,19.5,87.5,,
2024-01-04,20.5,81.5,0.0,27.376984
2024-01-04,20.5,82.5,0.0,27.892097
2024-01-04,20.5,83.5,0.0,28.226458
